시리즈키	교재명	출판사	급	역할	구성	출판사가 밝힌 특징
jeoldae	절대등급 공통수학	동아출판	고등	내신	시험에 꼭 나오는 문제(1분컷) → 1등급 도전 문제(3분컷) → 절대등급 완성 문제(7분컷)	내신 1등급 문제서. 출제율 높은 학교 시험 문제를 세 단계로 내고, 제한 시간 안에 푸는 연습으로 준킬러까지 해결할 수 있다고 소개합니다.
jeongseok-advanced	수학의 정석 실력편	성지출판	고등	심화	이론 + 문제. 연습문제 수록
jeongseok-basic	수학의 정석 기본편	성지출판	고등	개념	이론 + 문제 + 정답 및 해설. 기본정석 박스, 유제, 연습문제	변화된 교육과정을 반영했고, 기본정석을 박스 처리해 한눈에 파악하기 쉽게 했다고 소개합니다.
lightssen-high	라이트쎈 공통수학	좋은책신사고	고등	유형	A단계(기본 문제) → B단계(B−·B0·B+, 유형별 문제) → 중단원 마무리	학습 부담을 줄인 문제기본서. 기본-유형-마무리의 3단계 학습시스템. 전국 최신 내신 기출을 수록해 빈출·신유형에 대비한다고 한다.
manjeomwang	EBS 만점왕 수학	EBS	초등	개념	BOOK1 개념책 + BOOK2 실전책 + BOOK3 풀이책	예습·복습·숙제까지 한 번에 해결되는 교과서 완전 학습서. 개념책에는 학습 개념, 실전책에는 단원별 핵심정리와 확인 문제가 있고, 전 단원 무료 강의를 제공한다고 소개합니다.
mapl-synergy	마플시너지 공통수학	희망에듀	고등	유형	유형별·단원별 문제 구성	강력한 개념이 끝나면 문제 풀이라고 하며, 학교 교과서를 유형별·단원별로 정리한 학교 내신 대비서라고 소개합니다.
suryeok	수력충전 공통수학	수경출판사	고등	개념	개념 이해 문제 + 개념 체크 문제 → 기초 유형 연산(유형별 세분) → 단원 마무리 평가	쉬운 예시와 그림으로 개념·원리를 이해하고, 빈칸 채우기·단계별 완성하기 문제로 개념을 익힌다. 연산 문제를 유형별로 세분해 연산력을 키우고, 학교 시험에 적용하는 단원 마무리 평가를 수록했다.
woodeungsaeng	우등생 해법수학	천재교육	초등	내신	본책 + 평가자료집 + 꼼꼼 풀이집	어떤 교과서를 쓰더라도 언제나 우등생. 검정 교과서의 모든 개념과 문제유형을 수록하고, 한 권으로 학교공부를 완성한다고 소개합니다.
xistory-high	자이스토리 공통수학	수경출판사	고등	유형	개념+개념 확인 → 촘촘한 유형(난이도순) → 서술형·단원 모의고사. 고난도는 1·2등급 킬러로 구분	학교시험과 학력평가 만점 대비를 위한 유형 완벽 훈련서. 최신 학평 기출과 내신 기출 변형을 세밀히 유형 분류하고, 해결 단서·단계 풀이·입체 첨삭 해설을 단다.
xistory-mid	자이스토리 중등 수학	수경출판사	중등	유형	개념+개념 확인 1:1 → 촘촘한 유형 → 단계별 서술형 → 고난도 도전 문제 → 학교 시험 대비 단원별 모의고사	개념과 연계된 확인 문제를 1:1로 두고, 유형을 촘촘히 쪼개어 학교 시험에 나올 수 있는 유형에 대비한다. 서술형은 제시된 단계에 따라 쓰며 풀이 방법을 익히게 한다.
didim-basic-applied	디딤돌 초등수학 기본+응용	디딤돌교육	초등	유형	교과서 개념이해 → 기본기 다지기 → 응용력 기르기 → 단원 평가 (별도 실력 보강 자료집)	개념을 수학적 관점에서 이해할 수 있는 문제와 수학적 사고력을 기를 수 있는 문제를 담았고, 새 교육과정의 신경향 문제 유형을 반영했다고 소개합니다.
gaenyeom-basic-elem	개념+유형 기본 완성 초등수학	비상교육	초등	개념	개념책 → 복습책 1:1 유형 복습 → 평가책 (유형 복습 시스템)	개념책의 문제를 복습책에서 1:1로 복습하는 유형 복습 시스템으로 기본 실력을 완성한다고 소개합니다. 초1~2 과정의 이름입니다.
choigosujun	최고수준 초등수학	천재교육	초등	심화	활용 개념·상위 연계 개념 → 심화 유형 문제 → 창의 융합 문제	상위권이 되기 위한 필수 심화서로, 상위권 실력을 완성하기 위한 심화 문제와 각종 교내외 경시대회 대비 문제를 폭넓게 수록했다고 소개합니다.
choigosujun-s	최고수준S 초등수학	천재교육	초등	심화	활용 개념 → 유형 변형 → 실전 적용 (별도 복습책)	심화 교재를 어렵게 느끼는 학생을 위한 준심화 교재로, 대표 심화 유형 문제의 핵심 개념을 이해하고 풀이 방법을 훈련한다고 소개합니다.
