시리즈키	쓰는 사람들이 되풀이하는 말	평이 갈리는 점	본 곳의 수
rpm-high	라이트쎈과 쎈 사이. 개념원리와 짝으로 많이 씁니다. 유형 가이드가 본문에 있어 기본기를 빠르게 쌓기 좋다는 칭찬과, 심화·킬러가 부족하다는 불만이 함께 나옵니다.	쎈과 어느 쪽이 나은지는 취향 차이라는 말이 많습니다.	4
mapl-synergy	유형서 중 가장 두껍고 어려운 축. 유형을 거의 다 담아 다른 유형서가 필요 없다는 칭찬과, 문제 수가 너무 많아 시험 전에 한 번도 못 끝낸다는 불만이 함께 나옵니다.	양 때문에 피하는 쪽과 내신 대비용으로 극찬하는 쪽으로 호불호가 큽니다.	4
xistory-high	유형서가 아니라 학평 기출집입니다. 유형서를 한 권 돌린 뒤 실전으로 씁니다. 기출 정답률과 출처가 적혀 있고 해설이 자세하다는 칭찬이 반복됩니다.	순수 내신서는 아니지만, 학교 시험이 학평 변형인 곳에서는 내신에도 많이 씁니다.	4
gojaengi	쎈 다음의 준심화. 2단계의 양과 질이 좋다는 칭찬과, 3단계가 너무 어려워 독학이 쉽지 않다는 말이 함께 나옵니다. 일품과 거의 같은 자리로 봅니다.	일품과 어느 쪽이 더 센지 갈립니다. 고쟁이 3단계가 조금 더 세다는 쪽이 많습니다.	4
jeoldae	유형서를 끝낸 중상위가 씁니다. 얇고 단계가 분명하다는 평이 있습니다. 다만 다른 교재만큼 후기가 쌓여 있지 않습니다.	기출·변형이 많아 자이스토리를 먼저 풀었다면 겹친다는 말이 있습니다.	3
ilpum-high	신사고 라인에서 가장 위. 쎈을 소화한 학생의 심화 입문으로 씁니다. 계산이 깔끔하고 해설이 좋다는 칭찬과, 최고난도 문항 수가 적다는 아쉬움이 함께 나옵니다.	진짜 심화인지 준심화 워밍업인지 갈립니다.	4
jeongseok-advanced	유형서가 아니라 심화 개념서입니다. 기본 정석과 짝입니다. 개념과 증명이 깊다는 칭찬과, 요즘 내신·수능 유형과 거리가 있고 예제에서 연습문제로 넘어가는 폭이 크다는 말이 함께 나옵니다.	개념의 기준이라는 평과 지금 시험과 동떨어진 옛 교재라는 평이 갈립니다.	4
gaenyeom-high	고등 첫 권이나 선행용으로 쓰는 쉬운 기본서. 개념과 유형을 한 권에서 도는 구성입니다.		3
cube-concept	교과서·익힘책 수준의 기본 개념서. 디딤돌 기본·만점왕과 같은 층으로 봅니다. QR 개념·풀이 강의가 있어 혼자 돌리기 좋다는 칭찬이 반복됩니다.	'큐브 개념'과 '큐브 유형'을 같은 책으로 아는 후기가 많은데, 유형 편이 한 단계 위입니다.	4
gaenyeom-light-elem	기본~유형 단계. 진도책 문제를 복습책에서 1:1로 다시 푸는 구조가 반복 학습에 좋다는 말이 반복됩니다. 초1~2는 '기본 완성', 초3~6은 '기본 라이트'로 이름만 갈릴 뿐 같은 단계입니다.	양이 적당하다는 칭찬과, 유형을 많이 돌리려면 한 권으로 부족하다는 말이 함께 있습니다.	4
gaenyeom-basic-elem	기본~유형 단계. 진도책 문제를 복습책에서 1:1로 다시 푸는 구조가 반복 학습에 좋다는 말이 반복됩니다. 초1~2의 이름이고, 초3~6의 '기본 라이트'와 같은 단계입니다.		4
woodeungsaeng	교과서·익힘책·단원평가 중심. 어느 교과서로 배우든 한 권으로 학교 시험을 맞추려는 집에서 씁니다. 만점왕보다 조금 위로 봅니다.	오래 써 온 내신서라는 인식은 그대로지만, 최근 난이도표에서는 디딤돌 기본+응용이나 개념+유형을 유형 대표로 올리는 집이 많습니다.	4
jeongseok-basic	이름은 기본편이지만 개념원리보다 어렵다는 말이 많습니다. 개념 설명과 증명이 상세한 대신 그림이 적고 예제에서 연습문제로 넘어가는 폭이 커서, 혼자 시작하기에는 불친절하다는 평이 반복됩니다.	쉬운 개념서로 보는 쪽과 개념원리보다 어렵다고 보는 쪽이 갈립니다. 독학이 되는지도 갈립니다.	3
blacklabel-high	고등 심화서의 대표. 유형서를 끝낸 상위권이 씁니다. 얇아서 시험 전 고난도만 돌리기 좋다는 칭찬과, 해설이 단계를 건너뛴다는 불만이 함께 나옵니다. 첫 단계에서 다섯 개 넘게 막히면 이르다는 조언이 반복됩니다.	마지막 단계까지 꼭 풀어야 하는지에서 갈립니다.	4
